,adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
0,False,"['Comedy', 'Horror']",474350,en,It Chapter Two,442.401,2019-09-06,It Chapter Two,False,7.2,283
1,False,"['Comedy', 'Crime', 'Drama']",429203,en,The Old Man & the Gun,247.416,2018-09-28,The Old Man & the Gun,False,6.3,498
2,False,"['Action', 'Adventure', 'Science Fiction']",320288,en,Dark Phoenix,179.504,2019-06-07,Dark Phoenix,False,6.1,1675
3,False,['Action'],384018,en,Fast & Furious Presents: Hobbs & Shaw,124.178,2019-08-02,Fast & Furious Presents: Hobbs & Shaw,False,6.5,1028
4,False,['Action'],423204,en,Angel Has Fallen,149.039,2019-08-23,Angel Has Fallen,False,5.7,276
5,False,"['Action', 'Adventure', 'Animation', 'Drama', 'Family']",420818,en,The Lion King,124.906,2019-07-19,The Lion King,False,7.2,2366
6,False,"['Action', 'Crime', 'Thriller']",458156,en,John Wick: Chapter 3 – Parabellum,143.032,2019-05-17,John Wick: Chapter 3 – Parabellum,False,7.1,2377
7,False,"['Adventure', 'Animation', 'Comedy', 'Family']",920,en,Cars,95.76,2006-06-09,Cars,False,6.7,8027
8,False,"['Action', 'Adventure', 'Science Fiction']",429617,en,Spider-Man: Far from Home,182.251,2019-07-02,Spider-Man: Far from Home,False,7.7,3369
9,False,"['Adventure', 'Comedy', 'Fantasy', 'Romance', 'Family']",420817,en,Aladdin,121.081,2019-05-24,Aladdin,False,7.1,3177
10,False,['Comedy'],521777,en,Good Boys,87.772,2019-08-16,Good Boys,False,6.6,190
11,False,"['Animation', 'Romance']",486589,en,Red Shoes and the Seven Dwarfs,133.483,2019-08-01,Red Shoes and the Seven Dwarfs,False,5.1,28
12,False,"['Action', 'Science Fiction']",373571,en,Godzilla: King of the Monsters,84.617,2019-05-31,Godzilla: King of the Monsters,False,6.2,1321
13,False,['Comedy'],540901,en,Hustlers,100.01,2019-09-13,Hustlers,False,8.0,10
14,False,"['Adventure', 'Science Fiction', 'Action']",299534,en,Avengers: Endgame,79.578,2019-04-26,Avengers: Endgame,False,8.3,9296
15,False,"['Comedy', 'Drama', 'Romance']",625450,en,Tall Girl,110.919,2019-09-13,Tall Girl,False,10.0,1
16,False,"['Action', 'Thriller']",245891,en,John Wick,70.622,2014-10-24,John Wick,False,7.2,10769
17,False,"['Drama', 'Romance']",593961,tl,"Hello, Love, Goodbye",46.032,2019-07-31,"Hello, Love, Goodbye",False,5.6,37
18,False,"['Action', 'Adventure', 'Science Fiction']",299536,en,Avengers: Infinity War,74.539,2018-04-27,Avengers: Infinity War,False,8.3,15161
19,False,"['Action', 'Comedy', 'Crime', 'Drama', 'Western']",466272,en,Once Upon a Time in Hollywood,58.089,2019-07-26,Once Upon a Time in Hollywood,False,7.5,941
20,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",456740,en,Hellboy,51.087,2019-04-12,Hellboy,False,5.1,1109
21,False,"['Comedy', 'Fantasy', 'Music', 'Romance']",515195,en,Yesterday,64.774,2019-06-28,Yesterday,False,6.8,441
22,False,"['Action', 'Adventure', 'Fantasy']",120,en,The Lord of the Rings: The Fellowship of the Ring,35.98,2001-12-19,The Lord of the Rings: The Fellowship of the Ring,False,8.3,15139
23,False,"['Animation', 'Comedy', 'Drama', 'Family']",150540,en,Inside Out,39.147,2015-06-19,Inside Out,False,7.9,13277
24,False,"['Action', 'Adventure', 'Science Fiction']",27205,en,Inception,38.109,2010-07-16,Inception,False,8.3,23096
25,False,"['Adventure', 'Animation', 'Family']",166428,en,How to Train Your Dragon: The Hidden World,49.0,2019-02-22,How to Train Your Dragon: The Hidden World,False,7.7,2501
26,False,"['Action', 'Adventure', 'Science Fiction']",118340,en,Guardians of the Galaxy,41.537,2014-08-01,Guardians of the Galaxy,False,7.9,18729
27,False,"['Action', 'Fantasy', 'Science Fiction']",119569,en,Marvel One-Shot: Item 47,16.147,2012-09-25,Marvel One-Shot: Item 47,False,6.6,219
28,False,"['Action', 'Adventure', 'Animation', 'Comedy', 'Science Fiction']",324857,en,Spider-Man: Into the Spider-Verse,50.428,2018-12-14,Spider-Man: Into the Spider-Verse,False,8.4,5076
29,False,"['Drama', 'Music']",504608,en,Rocketman,43.23,2019-05-31,Rocketman,False,7.5,1096
30,False,"['Action', 'Adventure', 'Drama', 'Science Fiction']",315635,en,Spider-Man: Homecoming,47.547,2017-07-07,Spider-Man: Homecoming,False,7.4,12468
31,False,"['Crime', 'Mystery', 'Thriller']",441282,en,Night Hunter,61.107,2019-09-06,Night Hunter,False,6.3,61
32,False,['Drama'],472674,en,The Goldfinch,33.177,2019-09-13,The Goldfinch,False,5.8,5
33,False,['Comedy'],625128,en,Bill Burr: Paper Tiger,32.035,2019-09-10,Bill Burr: Paper Tiger,False,7.4,9
34,False,"['Action', 'Adventure', 'Crime', 'Science Fiction']",566057,ja,ルパンレンジャーＶＳパトレンジャーＶＳキュウレンジャー,34.504,2019-05-03,Lupinranger VS Patranger VS Kyuranger,False,0.0,0
35,False,"['Adventure', 'Fantasy', 'Family']",671,en,Harry Potter and the Philosopher's Stone,43.66,2001-11-16,Harry Potter and the Philosopher's Stone,False,7.8,14619
36,False,"['Adventure', 'Drama', 'Science Fiction']",157336,en,Interstellar,37.044,2014-11-05,Interstellar,False,8.3,19464
37,False,"['Action', 'Adventure', 'Comedy', 'Fantasy']",284053,en,Thor: Ragnarok,46.905,2017-11-03,Thor: Ragnarok,False,7.5,12135
38,False,"['Adventure', 'Animation', 'Comedy', 'Family']",412117,en,The Secret Life of Pets 2,36.174,2019-06-07,The Secret Life of Pets 2,False,6.6,556
39,False,"['Comedy', 'Mystery']",449562,en,The Hustle,52.23,2019-05-10,The Hustle,False,6.1,580
40,False,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",62177,en,Brave,30.013,2012-06-22,Brave,False,6.9,8504
41,False,"['Action', 'Crime', 'Drama', 'Thriller']",49026,en,The Dark Knight Rises,32.877,2012-07-20,The Dark Knight Rises,False,7.7,14429
42,False,"['Action', 'Crime', 'Thriller']",156022,en,The Equalizer,30.593,2014-09-26,The Equalizer,False,7.2,5220
43,False,"['War', 'Drama', 'Action']",228150,en,Fury,24.599,2014-10-17,Fury,False,7.4,6916
44,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",127585,en,X-Men: Days of Future Past,29.655,2014-05-23,X-Men: Days of Future Past,False,7.5,10469
45,False,"['Action', 'Thriller']",260346,en,Taken 3,31.9,2015-01-09,Taken 3,False,6.2,3555
46,False,"['Drama', 'Romance', 'Music']",332562,en,A Star Is Born,31.335,2018-10-05,A Star Is Born,False,7.5,6396
47,False,"['Crime', 'Thriller']",680,en,Pulp Fiction,27.994,1994-10-14,Pulp Fiction,False,8.4,16071
48,False,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",283995,en,Guardians of the Galaxy Vol. 2,33.563,2017-05-05,Guardians of the Galaxy Vol. 2,False,7.7,13181
49,False,"['Action', 'Drama', 'Fantasy']",274857,en,King Arthur: Legend of the Sword,19.064,2017-05-12,King Arthur: Legend of the Sword,False,6.5,3455
50,False,"['Mystery', 'Thriller']",452832,en,Serenity,29.496,2019-01-25,Serenity,False,5.2,538
51,False,"['Adventure', 'Fantasy']",428078,en,Mortal Engines,28.069,2018-12-14,Mortal Engines,False,6.0,2091
52,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",87101,en,Terminator Genisys,35.811,2015-07-01,Terminator Genisys,False,5.9,5479
53,False,"['Adventure', 'Comedy', 'Family']",499701,en,Dora and the Lost City of Gold,37.459,2019-08-09,Dora and the Lost City of Gold,False,6.2,130
54,False,"['Action', 'Mystery', 'Science Fiction', 'Thriller']",198663,en,The Maze Runner,29.977,2014-09-19,The Maze Runner,False,7.1,11023
55,False,"['Comedy', 'Drama', 'Music']",534259,en,Blinded by the Light,31.486,2019-08-14,Blinded by the Light,False,7.5,76
56,False,"['Adventure', 'Animation', 'Comedy', 'Family']",269149,en,Zootopia,29.412,2016-03-04,Zootopia,False,7.7,10397
57,False,"['Action', 'Thriller']",480042,en,Escape Plan: The Extractors,23.635,2019-07-02,Escape Plan: The Extractors,False,4.7,146
58,False,"['Action', 'Adventure', 'Fantasy']",297802,en,Aquaman,32.242,2018-12-21,Aquaman,False,6.8,6928
59,False,['Action'],438650,en,Cold Pursuit,26.615,2019-02-08,Cold Pursuit,False,5.4,960
60,False,"['Adventure', 'Mystery', 'Science Fiction']",70981,en,Prometheus,22.181,2012-06-08,Prometheus,False,6.4,7632
61,False,"['Drama', 'History', 'War']",857,en,Saving Private Ryan,19.213,1998-07-24,Saving Private Ryan,False,8.1,8855
62,False,"['Adventure', 'Drama', 'Science Fiction']",286217,en,The Martian,28.817,2015-10-02,The Martian,False,7.7,12629
63,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",262500,en,Insurgent,24.597,2015-03-20,Insurgent,False,6.3,7024
64,False,"['Adventure', 'Fantasy', 'Family']",259316,en,Fantastic Beasts and Where to Find Them,25.38,2016-11-18,Fantastic Beasts and Where to Find Them,False,7.4,12658
65,False,"['Drama', 'Fantasy', 'Romance']",8966,en,Twilight,24.232,2008-11-21,Twilight,False,6.0,7737
66,False,"['Action', 'Thriller']",399402,en,Hunter Killer,28.147,2018-10-26,Hunter Killer,False,6.4,799
67,False,['Horror'],521029,en,Annabelle Comes Home,27.47,2019-06-26,Annabelle Comes Home,False,6.1,708
68,False,"['Drama', 'Fantasy', 'Romance', 'Family']",150689,en,Cinderella,22.218,2015-03-13,Cinderella,False,6.7,4709
69,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Thriller']",18,en,The Fifth Element,27.486,1997-05-09,The Fifth Element,False,7.4,6488
70,False,"['Action', 'Adventure', 'Science Fiction']",76341,en,Mad Max: Fury Road,28.976,2015-05-15,Mad Max: Fury Road,False,7.4,14904
71,False,"['Fantasy', 'Romance', 'Family']",321612,en,Beauty and the Beast,26.886,2017-03-17,Beauty and the Beast,False,6.9,11391
72,False,"['Action', 'Adventure', 'Thriller', 'War']",1368,en,First Blood,23.965,1982-10-22,First Blood,False,7.4,2973
73,False,"['Action', 'Thriller']",267860,en,London Has Fallen,25.073,2016-03-04,London Has Fallen,False,5.9,2748
74,False,"['Animation', 'Drama', 'Family']",8587,en,The Lion King,27.684,1994-06-23,The Lion King,False,8.2,10878
75,False,"['Drama', 'Mystery', 'Thriller']",210577,en,Gone Girl,25.777,2014-10-03,Gone Girl,False,7.9,10940
76,False,"['Adventure', 'Comedy', 'Fantasy', 'Family']",181533,en,Night at the Museum: Secret of the Tomb,20.561,2014-12-19,Night at the Museum: Secret of the Tomb,False,6.2,3720
77,False,"['Crime', 'Mystery', 'Thriller']",807,en,Se7en,25.077,1995-09-22,Se7en,False,8.3,11224
78,False,"['Drama', 'Music']",244786,en,Whiplash,30.363,2014-10-10,Whiplash,False,8.4,8280
79,False,"['Action', 'Science Fiction', 'Thriller']",218,en,The Terminator,27.494,1984-10-26,The Terminator,False,7.5,7162
80,False,"['Animation', 'Fantasy', 'Family']",8392,ja,となりのトトロ,25.363,2018-12-11,My Neighbor Totoro,False,8.1,3452
81,False,"['Comedy', 'Fantasy', 'Family']",400650,en,Mary Poppins Returns,23.862,2018-12-19,Mary Poppins Returns,False,6.6,1702
82,False,"['Action', 'Drama', 'Science Fiction', 'Thriller']",119450,en,Dawn of the Planet of the Apes,24.963,2014-07-11,Dawn of the Planet of the Apes,False,7.3,7319
83,False,"['Adventure', 'Animation', 'Comedy', 'Family']",49013,en,Cars 2,20.992,2011-06-16,Cars 2,False,5.9,4285
84,False,"['Animation', 'Comedy', 'Fantasy', 'Family']",2062,en,Ratatouille,25.801,2007-06-22,Ratatouille,False,7.7,9503
85,False,"['Comedy', 'Drama']",490132,en,Green Book,25.539,2018-11-16,Green Book,False,8.3,4235
86,False,"['Crime', 'Drama']",574302,ko,타짜: 원 아이드 잭,19.407,2019-09-11,Tazza: One Eyed Jack,False,0.0,0
87,False,"['Adventure', 'Animation', 'Comedy', 'Fantasy', 'Family']",354912,en,Coco,23.998,2017-11-22,Coco,False,8.2,9305
88,False,"['Action', 'Adventure', 'Science Fiction']",339964,en,Valerian and the City of a Thousand Planets,26.863,2017-07-21,Valerian and the City of a Thousand Planets,False,6.6,4366
89,False,"['Animation', 'Comedy', 'Family']",10193,en,Toy Story 3,19.88,2010-06-17,Toy Story 3,False,7.8,8988
90,False,"['Drama', 'Romance']",535526,id,Antologi Rasa,24.577,2019-02-14,Antologi Rasa,False,4.6,5
91,False,"['Action', 'Crime', 'Drama']",516700,id,Gundala,20.308,2019-08-29,Gundala,False,6.3,12
92,False,"['Action', 'Adventure', 'Comedy', 'Science Fiction']",363088,en,Ant-Man and the Wasp,31.606,2018-07-06,Ant-Man and the Wasp,False,7.0,6956
93,False,"['Comedy', 'Romance']",623195,en,Falling Inn Love,25.286,2019-08-29,Falling Inn Love,False,6.4,209
94,False,"['Comedy', 'Drama']",445629,en,Fighting with My Family,24.878,2019-02-14,Fighting with My Family,False,6.6,468
95,False,"['Adventure', 'Science Fiction']",333339,en,Ready Player One,25.037,2018-03-29,Ready Player One,False,7.6,7618
96,False,"['Crime', 'Drama', 'Comedy']",106646,en,The Wolf of Wall Street,20.55,2013-12-25,The Wolf of Wall Street,False,8.0,13040
97,False,"['Drama', 'History']",381284,en,Hidden Figures,25.628,2016-12-10,Hidden Figures,False,8.0,4991
98,False,"['Thriller', 'Crime', 'Drama']",101,fr,Léon,22.579,1994-11-18,Léon: The Professional,False,8.3,8106
99,False,"['Comedy', 'Fantasy']",4011,en,Beetlejuice,21.053,1988-03-30,Beetlejuice,False,7.3,3192
100,False,"['Action', 'Adventure', 'Fantasy']",1865,en,Pirates of the Caribbean: On Stranger Tides,22.139,2011-05-20,Pirates of the Caribbean: On Stranger Tides,False,6.4,8903
101,False,"['Adventure', 'Fantasy', 'Family']",32657,en,Percy Jackson & the Olympians: The Lightning Thief,21.834,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,False,6.1,4457
102,False,"['Adventure', 'Fantasy', 'Family']",411,en,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",19.732,2005-12-09,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",False,7.0,6059
103,False,"['Animation', 'Family', 'Fantasy']",10144,en,The Little Mermaid,18.354,1989-11-17,The Little Mermaid,False,7.3,4382
104,False,"['Crime', 'Drama', 'Thriller']",504172,en,The Mule,22.5,2018-12-14,The Mule,False,6.6,1969
105,False,"['Action', 'Adventure', 'Animation', 'Family']",9806,en,The Incredibles,20.267,2004-11-05,The Incredibles,False,7.7,11106
106,False,"['Horror', 'Thriller']",694,en,The Shining,17.713,1980-05-23,The Shining,False,8.2,9060
107,False,"['Action', 'Adventure', 'Science Fiction']",1724,en,The Incredible Hulk,21.744,2008-06-12,The Incredible Hulk,False,6.2,6663
108,False,"['Adventure', 'Animation', 'Fantasy', 'Family']",10191,en,How to Train Your Dragon,19.415,2010-03-26,How to Train Your Dragon,False,7.7,7977
109,False,"['Action', 'Drama', 'Thriller', 'War']",16869,en,Inglourious Basterds,24.754,2009-08-21,Inglourious Basterds,False,8.1,12699
110,False,"['Drama', 'Crime']",627,en,Trainspotting,24.788,1996-07-19,Trainspotting,False,8.0,5625
111,False,"['Action', 'Crime']",24,en,Kill Bill: Vol. 1,22.035,2003-10-10,Kill Bill: Vol. 1,False,7.9,9969
112,False,"['Action', 'Adventure', 'Thriller']",699,en,For Your Eyes Only,13.727,1981-06-24,For Your Eyes Only,False,6.5,857
113,False,"['Adventure', 'Animation', 'Comedy', 'Family']",270946,en,Penguins of Madagascar,20.053,2014-11-26,Penguins of Madagascar,False,6.4,2383
114,False,['Western'],429,it,"Il buono, il brutto, il cattivo",20.772,1967-12-29,"The Good, the Bad and the Ugly",False,8.4,4273
115,False,"['Adventure', 'Fantasy', 'Family']",767,en,Harry Potter and the Half-Blood Prince,24.987,2009-07-08,Harry Potter and the Half-Blood Prince,False,7.6,11059
116,False,"['Animation', 'Family']",12429,ja,崖の上のポニョ,23.075,2009-08-14,Ponyo,False,7.7,1825
117,False,['Science Fiction'],830,en,Forbidden Planet,17.91,1956-03-15,Forbidden Planet,False,7.3,407
118,False,"['Action', 'Adventure', 'Fantasy']",564,en,The Mummy,24.551,1999-05-07,The Mummy,False,6.7,5207
119,False,"['Adventure', 'Animation', 'Comedy', 'Family']",9487,en,A Bug's Life,18.845,1998-11-25,A Bug's Life,False,6.9,5266
120,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",135397,en,Jurassic World,19.633,2015-06-12,Jurassic World,False,6.6,14470
121,False,"['Action', 'Crime']",339403,en,Baby Driver,17.738,2017-06-28,Baby Driver,False,7.4,8628
122,False,"['Crime', 'Drama']",571391,es,Chicuarotes,10.71,2019-09-10,Chicuarotes,False,0.0,12
123,False,"['Action', 'Science Fiction', 'Horror']",345940,en,The Meg,19.936,2018-08-10,The Meg,False,5.9,3235
124,False,['Documentary'],616800,en,Illuminated: The True Story of the Illuminati,11.689,2019-07-30,Illuminated: The True Story of the Illuminati,False,7.7,3
125,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",106,en,Predator,23.479,1987-06-12,Predator,False,7.4,3901
126,False,['Drama'],291984,en,The Death & Life of John F. Donovan,21.971,2019-03-13,The Death & Life of John F. Donovan,False,7.7,245
127,False,"['Adventure', 'Comedy', 'Family', 'Fantasy']",118,en,Charlie and the Chocolate Factory,13.619,2005-07-15,Charlie and the Chocolate Factory,False,7.0,8667
128,False,"['Action', 'Drama', 'Science Fiction', 'Thriller']",315837,en,Ghost in the Shell,18.933,2017-03-31,Ghost in the Shell,False,6.0,5345
129,False,"['Action', 'Animation', 'Comedy']",496891,ja,ガールズ＆パンツァー 最終章 第2話,28.03,2019-06-15,Girls und Panzer das Finale: Part II,False,2.3,3
130,False,"['Action', 'Adventure', 'Science Fiction']",330459,en,Rogue One: A Star Wars Story,18.67,2016-12-16,Rogue One: A Star Wars Story,False,7.5,9653
131,False,"['Action', 'Comedy', 'Thriller']",291805,en,Now You See Me 2,24.637,2016-06-10,Now You See Me 2,False,6.8,7050
132,False,"['Thriller', 'Action', 'Crime']",345887,en,The Equalizer 2,16.895,2018-07-20,The Equalizer 2,False,6.4,2289
133,False,"['Fantasy', 'Horror', 'Thriller']",626576,en,Mayday,10.298,2019-09-10,Mayday,False,0.0,0
134,False,"['Adventure', 'Animation', 'Comedy', 'Family']",14160,en,Up,19.098,2009-05-28,Up,False,7.9,12880
135,False,"['Comedy', 'Drama']",505600,en,Booksmart,21.877,2019-05-24,Booksmart,False,7.2,509
136,False,"['Adventure', 'Animation', 'Comedy', 'Family']",127380,en,Finding Dory,17.14,2016-06-17,Finding Dory,False,7.0,8205
137,False,"['Action', 'Adventure', 'Animation', 'Comedy', 'Fantasy', 'Science Fiction', 'Family']",280217,en,The Lego Movie 2: The Second Part,19.531,2019-01-26,The Lego Movie 2: The Second Part,False,6.6,762
138,False,['Drama'],569711,en,Human Capital,9.097,2019-09-10,Human Capital,False,0.0,1
139,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",335988,en,Transformers: The Last Knight,20.994,2017-06-21,Transformers: The Last Knight,False,6.0,3409
140,False,"['Action', 'Comedy', 'Science Fiction']",41154,en,Men in Black 3,17.716,2012-05-25,Men in Black 3,False,6.4,6701
141,False,"['Horror', 'Science Fiction', 'Thriller']",158015,en,The Purge,18.441,2013-06-06,The Purge,False,6.2,5078
142,False,"['Action', 'Adventure', 'Thriller']",56292,en,Mission: Impossible - Ghost Protocol,17.597,2011-12-21,Mission: Impossible - Ghost Protocol,False,7.0,6315
143,False,"['Action', 'Adventure', 'Fantasy']",559,en,Spider-Man 3,21.902,2007-05-03,Spider-Man 3,False,6.1,7533
144,False,"['Action', 'Fantasy', 'Horror']",72331,en,Abraham Lincoln: Vampire Hunter,18.577,2012-06-22,Abraham Lincoln: Vampire Hunter,False,5.6,2080
145,False,['Comedy'],813,en,Airplane!,21.001,1980-07-02,Airplane!,False,7.3,2190
146,False,"['Comedy', 'Drama']",575559,en,The County,14.021,2019-09-11,The County,False,0.0,0
147,False,"['Action', 'Adventure', 'Science Fiction']",101299,en,The Hunger Games: Catching Fire,25.068,2013-11-22,The Hunger Games: Catching Fire,False,7.4,11603
148,False,"['Action', 'Adventure']",87,en,Indiana Jones and the Temple of Doom,17.577,1984-05-23,Indiana Jones and the Temple of Doom,False,7.2,5120
149,False,"['Science Fiction', 'Fantasy', 'Action', 'Adventure']",76757,en,Jupiter Ascending,18.905,2015-02-27,Jupiter Ascending,False,5.3,4572
150,False,"['Action', 'Adventure', 'Drama']",98,en,Gladiator,21.865,2000-05-01,Gladiator,False,8.1,10185
151,False,"['Action', 'Crime', 'Science Fiction']",198184,en,Chappie,17.69,2015-03-06,Chappie,False,6.7,5152
152,False,"['Action', 'Adventure']",177677,en,Mission: Impossible - Rogue Nation,21.93,2015-07-31,Mission: Impossible - Rogue Nation,False,7.1,5450
153,False,"['Action', 'Adventure', 'Comedy', 'Crime']",207703,en,Kingsman: The Secret Service,25.726,2014-12-13,Kingsman: The Secret Service,False,7.6,10665
154,False,"['Action', 'Thriller']",347375,en,Mile 22,18.045,2018-08-17,Mile 22,False,6.0,1032
155,False,"['Action', 'Adventure', 'Animation', 'Science Fiction', 'Thriller']",12244,en,9,16.976,2009-09-09,9,False,6.7,2047
156,False,"['Drama', 'Mystery', 'Thriller']",9741,en,Unbreakable,17.926,2000-11-22,Unbreakable,False,7.1,5321
157,False,"['Mystery', 'Thriller']",2832,en,Identity,19.345,2003-04-25,Identity,False,7.2,1961
158,False,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",307663,en,Vice,12.839,2015-01-16,Vice,False,4.3,325
159,False,"['Action', 'Adventure', 'Thriller']",37724,en,Skyfall,17.357,2012-11-09,Skyfall,False,7.1,10717
160,False,"['Fantasy', 'Drama', 'Crime']",497,en,The Green Mile,20.455,1999-12-10,The Green Mile,False,8.5,8757
161,False,"['Adventure', 'Drama', 'Family']",498248,fr,Mia et le lion blanc,17.477,2019-04-12,Mia and the White Lion,False,7.4,273
162,False,"['Action', 'Comedy', 'Science Fiction']",107985,en,The World's End,15.749,2013-08-23,The World's End,False,6.7,3155
163,False,['Documentary'],611761,en,Inmate #1: The Rise of Danny Trejo,8.118,2019-09-10,Inmate #1: The Rise of Danny Trejo,False,0.0,0
164,False,"['Action', 'Adventure', 'Science Fiction']",131634,en,The Hunger Games: Mockingjay - Part 2,21.994,2015-11-18,The Hunger Games: Mockingjay - Part 2,False,6.8,7923
165,False,"['Drama', 'Horror', 'Thriller']",539,en,Psycho,17.647,1960-09-08,Psycho,False,8.4,5271
166,False,"['Drama', 'Science Fiction', 'Romance']",612507,ja,初恋ロスタイム,8.866,2019-09-10,Love Stoppage Time,False,0.0,0
167,False,"['Animation', 'Family']",73723,en,The Lorax,21.416,2012-03-01,The Lorax,False,6.4,1895
168,False,"['Horror', 'Mystery', 'Science Fiction']",1091,en,The Thing,19.874,1982-06-25,The Thing,False,8.0,3263
169,False,"['Action', 'Adventure', 'Crime', 'Mystery']",10528,en,Sherlock Holmes,13.64,2009-12-25,Sherlock Holmes,False,7.2,9398
170,False,"['Animation', 'Family']",45772,en,Gnomeo & Juliet,17.625,2011-02-11,Gnomeo & Juliet,False,5.8,1144
171,False,['Documentary'],619637,en,"Jordan River Anderson, The Messenger",8.856,2019-09-10,"Jordan River Anderson, The Messenger",False,0.0,0
172,False,"['Adventure', 'Drama', 'Fantasy', 'Family']",278927,en,The Jungle Book,17.872,2016-04-15,The Jungle Book,False,6.8,5466
173,False,"['Action', 'Crime']",585831,ko,나쁜 녀석들: 더 무비,14.13,2019-09-11,The Bad Guys: Reign of Chaos,False,0.0,0
174,False,"['Action', 'Adventure', 'Thriller']",657,en,From Russia with Love,17.375,1963-10-11,From Russia with Love,False,7.1,1388
175,False,['Documentary'],621753,en,"Bikram: Yogi, Guru, Predator",8.349,2019-09-10,"Bikram: Yogi, Guru, Predator",False,0.0,0
176,False,['Documentary'],573793,it,Salvatore Ferragamo: The Shoemaker of Dreams,8.153,2019-09-10,Salvatore Ferragamo: The Shoemaker of Dreams,False,0.0,0
177,False,"['Animation', 'Comedy', 'Family', 'Western', 'Adventure']",44896,en,Rango,11.552,2011-03-03,Rango,False,6.6,3561
178,False,[],595875,ar,Adam,13.579,2019-09-11,Adam,False,0.0,0
179,False,"['Crime', 'Mystery', 'Thriller']",574,en,The Man Who Knew Too Much,18.042,1956-06-01,The Man Who Knew Too Much,False,7.5,596
180,False,"['Action', 'Adventure', 'Science Fiction']",1771,en,Captain America: The First Avenger,18.985,2011-07-22,Captain America: The First Avenger,False,6.9,13422
181,False,"['Horror', 'Adventure', 'Action']",7131,en,Van Helsing,14.869,2004-05-07,Van Helsing,False,6.1,3219
182,False,"['Comedy', 'Crime']",10587,en,Police Academy 4: Citizens on Patrol,13.954,1987-04-02,Police Academy 4: Citizens on Patrol,False,5.3,549
183,False,"['Adventure', 'Drama', 'War']",8619,en,Master and Commander: The Far Side of the World,20.272,2003-11-14,Master and Commander: The Far Side of the World,False,7.1,1567
184,False,"['Action', 'History', 'War']",855,en,Black Hawk Down,16.777,2001-12-28,Black Hawk Down,False,7.3,3088
185,False,['Drama'],316029,en,The Greatest Showman,16.417,2017-12-20,The Greatest Showman,False,8.0,5532
186,False,"['Adventure', 'Fantasy', 'Family']",522518,en,A Dog's Journey,20.121,2019-05-17,A Dog's Journey,False,7.1,115
187,False,"['Crime', 'Drama', 'Thriller']",6977,en,No Country for Old Men,15.809,2007-11-08,No Country for Old Men,False,7.9,6220
188,False,"['Action', 'Adventure', 'Science Fiction']",181812,en,Star Wars: The Rise of Skywalker,15.673,2019-12-20,Star Wars: The Rise of Skywalker,False,0.0,0
189,False,"['Science Fiction', 'Thriller', 'Drama']",49047,en,Gravity,17.468,2013-10-04,Gravity,False,7.2,9938
190,False,"['Action', 'Mystery', 'Thriller']",341013,en,Atomic Blonde,17.303,2017-07-28,Atomic Blonde,False,6.3,3835
191,False,"['Adventure', 'Animation', 'Comedy', 'Family']",260514,en,Cars 3,16.923,2017-06-16,Cars 3,False,6.7,2783
192,False,"['Adventure', 'Drama', 'Action']",147441,en,Exodus: Gods and Kings,23.419,2014-12-12,Exodus: Gods and Kings,False,5.8,3001
193,False,"['Adventure', 'Drama', 'Fantasy', 'Romance']",18239,en,The Twilight Saga: New Moon,20.027,2009-11-20,The Twilight Saga: New Moon,False,5.8,5446
194,False,"['Adventure', 'Comedy', 'Crime', 'Mystery']",426563,en,Holmes & Watson,14.766,2018-12-25,Holmes & Watson,False,4.4,288
195,False,"['Horror', 'Science Fiction', 'War']",438799,en,Overlord,18.002,2018-11-09,Overlord,False,6.6,1193
196,False,"['Adventure', 'Animation', 'Comedy', 'Family']",425,en,Ice Age,17.103,2002-03-15,Ice Age,False,7.3,7870
197,False,"['Animation', 'Comedy', 'Fantasy', 'Family']",360920,en,The Grinch,18.341,2018-11-09,The Grinch,False,6.5,1194
198,False,"['Crime', 'Drama']",103,en,Taxi Driver,17.125,1976-02-08,Taxi Driver,False,8.2,5581
199,False,['Drama'],514439,en,Breakthrough,17.421,2019-04-18,Breakthrough,False,7.1,144
200,False,"['Horror', 'Thriller']",424139,en,Halloween,22.841,2018-10-19,Halloween,False,6.4,2256
201,False,"['Adventure', 'Mystery', 'Science Fiction', 'Family']",158852,en,Tomorrowland,18.583,2015-05-22,Tomorrowland,False,6.2,4756
202,False,['Drama'],46853,it,Maladolescenza,16.414,1977-07-07,Playing with Love,False,5.2,33
