,adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
3280,False,"['Drama', 'History']",454693,de,Das schweigende Klassenzimmer,6.807,2018-03-01,The Silent Revolution,False,7.7,111
3281,False,"['Adventure', 'Animation', 'Fantasy', 'Family']",476631,en,Barbie: Dolphin Magic,5.998,2017-09-18,Barbie: Dolphin Magic,False,6.4,73
3282,False,"['Fantasy', 'Family', 'Animation', 'Adventure']",292014,ru,Снежная королева 2: Перезаморозка,6.069,2014-12-20,The Snow Queen 2: Refreeze,False,6.2,46
3283,False,['Comedy'],24169,it,Il cosmo sul comò,5.505,2008-12-19,Il cosmo sul comò,False,5.1,492
3284,False,"['Romance', 'Comedy', 'Crime', 'Drama']",239877,it,La mafia uccide solo d'estate,7.027,2015-03-06,The Mafia Kills Only in Summer,False,7.4,736
3285,False,"['Action', 'Science Fiction']",10881,pl,Avalon,6.81,2001-11-11,Avalon,False,6.8,154
3286,False,['Drama'],374458,ro,Bacalaureat,5.629,2016-05-20,Graduation,False,6.7,119
3287,False,"['Comedy', 'Drama']",14662,en,Slums of Beverly Hills,5.447,1998-08-14,Slums of Beverly Hills,False,6.4,105
3288,False,"['Crime', 'Drama', 'Thriller']",465023,en,Serialized,5.043,2016-11-12,Serialized,False,5.8,34
3289,False,"['Comedy', 'Crime', 'Mystery', 'Thriller']",16148,en,Zero Effect,6.756,1998-01-30,Zero Effect,False,6.4,88
3290,False,"['Fantasy', 'Drama', 'Comedy']",423949,en,Unicorn Store,6.638,2019-04-05,Unicorn Store,False,6.2,480
3291,False,['Comedy'],243442,it,Un fantastico via vai,5.677,2013-12-12,Un fantastico via vai,False,6.0,205
3292,False,['Comedy'],40817,it,Baciami ancora,8.513,2010-01-29,Kiss Me Again,False,5.7,194
3293,False,['History'],622831,zh,决胜时刻,4.747,2019-09-20,Chairman Mao 1949,False,0.0,0
3294,False,"['Drama', 'Mystery', 'Thriller']",243568,en,Lizzie Borden Took an Ax,6.351,2014-01-25,Lizzie Borden Took an Ax,False,5.7,97
3295,False,['Western'],16662,it,La resa dei conti,5.89,1966-11-29,The Big Gundown,False,7.7,65
3296,False,['Drama'],457842,ru,Аритмия,5.233,2017-10-12,Arrhythmia,False,7.7,51
3297,False,"['Romance', 'Drama', 'Crime']",16295,en,Higher Learning,8.085,1995-01-11,Higher Learning,False,6.7,103
3298,False,"['Action', 'Adventure', 'Animation', 'Fantasy']",113082,ja,ベルセルク 黄金時代篇I 覇王の卵,6.869,2012-02-03,Berserk: The Golden Age Arc 1 - The Egg of the King,False,7.2,205
3299,False,"['Drama', 'Comedy']",24188,it,Il sorpasso,6.01,1962-12-04,Il Sorpasso,False,8.3,249
3300,False,['Thriller'],400041,en,3 Lives,7.07,2019-08-06,3 Lives,False,0.0,3
3301,False,"['Action', 'Animation', 'Fantasy']",66105,ja,聖闘士星矢 真紅の少年伝説,5.447,1988-07-23,Saint Seiya: Legend of Crimson Youth,False,6.2,37
3302,False,"['Documentary', 'Music']",13963,en,The Last Waltz,5.646,1978-12-31,The Last Waltz,False,7.8,106
3303,False,"['Crime', 'Drama', 'Mystery', 'Science Fiction', 'Thriller']",9063,da,Forbrydelsens element,7.284,1984-05-18,The Element of Crime,False,6.7,83
3304,False,"['Comedy', 'Drama', 'History']",46138,en,Made in Dagenham,5.863,2010-11-19,Made in Dagenham,False,6.6,152
3305,False,"['Fantasy', 'Romance', 'Mystery']",22292,en,The Ghost and Mrs. Muir,6.909,1947-06-26,The Ghost and Mrs. Muir,False,7.6,115
3306,False,"['Drama', 'Romance']",21035,nl,Turks Fruit,5.238,1973-09-01,Turkish Delight,False,7.1,67
3307,False,"['Action', 'Adventure', 'Thriller']",14172,en,Wake of Death,5.99,2004-12-28,Wake of Death,False,5.7,96
3308,False,"['Action', 'Adventure', 'Fantasy', 'Science Fiction', 'Family']",11940,en,Sinbad and the Eye of the Tiger,5.432,1977-08-12,Sinbad and the Eye of the Tiger,False,6.4,76
3309,False,"['Comedy', 'Fantasy', 'Family']",333112,de,Gespensterjäger,5.432,2019-09-04,Ghosthunters: On Icy Trails,False,5.9,40
3310,False,"['Comedy', 'Drama']",36298,it,"Io, loro e Lara",8.398,2010-01-01,"Me, Them And Lara",False,5.6,157
3311,False,"['Thriller', 'Horror']",289416,en,Grace,7.041,2014-10-28,Grace,False,4.6,80
3312,False,"['Romance', 'Drama']",375784,tr,Delibal,6.739,2015-12-25,Delibal,False,8.0,65
3313,False,"['Science Fiction', 'Horror']",18983,en,"Godzilla, King of the Monsters!",5.997,1956-04-27,"Godzilla, King of the Monsters!",False,6.5,79
3314,False,"['Thriller', 'Crime']",393562,hi,रमन राघव २.०,4.572,2016-09-25,Raman Raghav 2.0,False,7.3,55
3315,False,"['Action', 'Thriller']",289269,en,Lady Bloodfight,7.54,2016-11-11,Lady Bloodfight,False,6.0,55
3316,False,"['Crime', 'Drama']",27053,fr,Le jour se lève,6.328,1940-07-29,Le Jour se Lève,False,7.8,77
3317,False,['Comedy'],384500,it,Tiramisù,6.81,2016-02-25,Tiramisù,False,5.3,156
3318,False,"['Comedy', 'Drama', 'Romance']",41556,en,The Romantics,6.025,2010-09-10,The Romantics,False,4.9,155
3319,False,"['Animation', 'Comedy', 'Family', 'TV Movie']",13479,en,A Charlie Brown Thanksgiving,5.803,1973-11-20,A Charlie Brown Thanksgiving,False,7.3,89
3320,False,"['Comedy', 'Drama']",156708,en,Afternoon Delight,5.115,2013-08-30,Afternoon Delight,False,5.8,117
3321,False,"['Crime', 'Drama', 'Thriller']",86004,hi,तलाश,5.733,2012-11-30,Talaash,False,6.8,98
3322,False,"['Mystery', 'Crime', 'Drama']",1990,en,Paranoid Park,5.098,2008-03-07,Paranoid Park,False,6.5,255
3323,False,['Drama'],347033,en,Equity,7.563,2016-07-29,Equity,False,5.8,66
3324,False,['Drama'],9821,en,The Mighty,6.746,1998-10-23,The Mighty,False,7.3,117
3325,False,"['Drama', 'Romance']",139035,ta,Poomagal Oorvalam,6.546,1999-04-30,Poomagal Oorvalam,False,0.0,0
3326,False,['Drama'],468592,pt,Vitalina Varela,5.901,2019-09-28,Vitalina Varela,False,0.0,0
3327,False,"['Horror', 'Thriller', 'Mystery']",19237,en,Kill Theory,5.418,2010-01-29,Kill Theory,False,5.3,60
3328,False,['Comedy'],57243,fr,Les Femmes du 6e étage,5.475,2010-12-20,The Women on the 6th Floor,False,6.7,191
3329,False,"['Drama', 'Romance']",95548,en,Baby the Rain Must Fall,3.328,1965-01-12,Baby the Rain Must Fall,False,5.9,11
3330,False,['Comedy'],383869,fr,Retour chez ma mère,6.886,2016-06-01,Back to Mom's,False,5.7,316
3331,False,['Western'],6529,en,Hondo,5.465,1953-11-25,Hondo,False,6.7,81
3332,False,['Drama'],50247,ja,麦秋,4.031,1972-08-02,Early Summer,False,8.1,55
3333,False,"['Drama', 'Romance']",4307,es,La flor de mi secreto,7.425,1995-09-22,The Flower of My Secret,False,7.1,86
3334,False,"['Crime', 'Thriller']",351809,es,Cien años de perdón,6.085,2016-03-03,To Steal from a Thief,False,6.1,199
3335,False,['Drama'],14134,hi,मैं हूँ ना,7.472,2004-04-30,Main Hoon Na,False,7.0,118
3336,False,"['Drama', 'Fantasy']",621723,el,Entwined,5.437,2019-09-06,Entwined,False,0.0,0
3337,False,"['Drama', 'Comedy']",33806,nl,De helaasheid der dingen,6.782,2009-10-07,The Misfortunates,False,7.5,89
