adult,genre_ids,id,original_language,original_title,popularity,release_date,title,video,vote_average,vote_count
FALSE,"['Crime', 'Documentary', 'History', 'Thriller']",14048,en,Man on Wire,5.35,7/25/2008,Man on Wire,FALSE,7.5,476
FALSE,"['Drama', 'History']",1883,en,Malcolm X,8.409,11/18/1992,Malcolm X,FALSE,7.5,720
FALSE,"['Comedy', 'Drama', 'Romance']",4564,en,Sex and the City,6.425,5/30/2008,Sex and the City,FALSE,6.4,1078
FALSE,"['Drama', 'Action', 'Thriller', 'Crime']",10425,en,The Death and Life of Bobby Z,6.288,9/4/2007,The Death and Life of Bobby Z,FALSE,6,179
FALSE,"['Crime', 'Comedy']",53172,en,Henry's Crime,5.839,4/8/2011,Henry's Crime,FALSE,5.8,169
FALSE,"['Animation', 'Drama', 'Romance', 'TV Movie']",21057,ja,海がきこえる,7.847,12/28/2016,Ocean Waves,FALSE,6.4,129
FALSE,"['Thriller', 'Horror']",420634,en,Terrifier,9.128,3/15/2018,Terrifier,FALSE,6.1,148
FALSE,"['Comedy', 'Crime']",24271,en,The Maiden Heist,7.962,5/29/2009,The Maiden Heist,FALSE,5.8,181
FALSE,"['Comedy', 'Horror']",377587,en,Meet the Blacks,6.324,4/1/2016,Meet the Blacks,FALSE,4.3,146
FALSE,"['Drama', 'History', 'Romance']",28005,en,Kama Sutra - A Tale of Love,7.985,2/28/1997,Kama Sutra - A Tale of Love,FALSE,5.5,71
FALSE,"['Mystery', 'Romance', 'Thriller']",160139,en,Night Train to Lisbon,7.166,12/6/2013,Night Train to Lisbon,FALSE,6.6,207
FALSE,['Comedy'],10471,en,Next Friday,7.81,1/12/2000,Next Friday,FALSE,6.3,255
FALSE,"['Drama', 'Action', 'Thriller', 'Crime']",12647,en,Billy Bathgate,7.615,11/1/1991,Billy Bathgate,FALSE,5.7,98
FALSE,"['Crime', 'Drama']",226,en,Boys Don't Cry,6.31,10/22/1999,Boys Don't Cry,FALSE,7.5,674
FALSE,"['Action', 'Animation']",39145,ja,ドラゴンボール 魔神城のねむり姫,5.245,7/18/1987,Dragon Ball: Sleeping Princess in Devil's Castle,FALSE,6.1,88
FALSE,"['Animation', 'Comedy', 'Fantasy', 'Science Fiction']",12889,en,Futurama: The Beast with a Billion Backs,6.787,6/24/2008,Futurama: The Beast with a Billion Backs,FALSE,7,271
FALSE,"['Drama', 'Comedy']",74534,en,The Best Exotic Marigold Hotel,7.727,5/25/2012,The Best Exotic Marigold Hotel,FALSE,6.9,780
FALSE,['Comedy'],52077,fr,Rien à déclarer,5.451,12/20/2010,Nothing to Declare,FALSE,5.8,652
FALSE,['Drama'],4012,en,The Believer,5.797,1/19/2001,The Believer,FALSE,7.1,304
FALSE,"['Drama', 'Thriller']",9585,en,Not Without My Daughter,8.534,1/11/1991,Not Without My Daughter,FALSE,6.2,107
FALSE,"['Documentary', 'Music', 'Family']",67675,en,Glee: The Concert Movie,5.927,8/12/2011,Glee: The Concert Movie,FALSE,7.3,150
FALSE,"['Drama', 'Thriller', 'Crime', 'Romance']",1252,en,Lonely Hearts,5.411,4/30/2006,Lonely Hearts,FALSE,6.1,174
FALSE,['Thriller'],449019,es,El cuaderno de Sara,7.242,2/2/2018,Sara's Notebook,FALSE,6,75
FALSE,"['Comedy', 'Romance']",259954,en,5 to 7,6.243,4/19/2014,5 to 7,FALSE,7.1,192
FALSE,"['Action', 'Animation', 'Comedy']",44729,ja,ワンピース the movie オマツリ男爵と秘密の島,8.01,12/31/2005,One Piece: Baron Omatsuri and the Secret Island,FALSE,7,71
FALSE,"['Drama', 'Romance']",6003,en,Romeo and Juliet,7.057,9/25/1968,Romeo and Juliet,FALSE,7.4,310
FALSE,"['Crime', 'Thriller']",10955,en,Ripley's Game,5.422,9/4/2003,Ripley's Game,FALSE,6.6,116
FALSE,['Drama'],10549,en,Hamlet,7.619,12/25/1996,Hamlet,FALSE,7.5,228
